epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2473,1.32171,4.47547,1.23217,0.00589,0.42766,0.03552,0.02382,1.04896,4.55761,1.02824,0.000228846,0.000228846,0.000228846
2,40.32,1.29217,3.63249,1.21047,0.0066,0.44555,0.0502,0.03117,1.12456,4.37789,1.07154,0.000457603,0.000457603,0.000457603
3,56.8205,1.26277,3.31006,1.20581,0.71289,0.01143,0.03355,0.02514,1.15418,4.25172,1.1613,0.000676934,0.000676934,0.000676934
4,71.3629,1.2992,3.22853,1.1837,0.27605,0.07269,0.09274,0.06131,1.2788,3.81916,1.17747,0.000671588,0.000671588,0.000671588
5,88.3988,1.2671,3.04246,1.18765,0.24501,0.11867,0.07891,0.05364,1.30936,3.80533,1.22757,0.000657451,0.000657451,0.000657451
6,104.744,1.24948,2.86557,1.1822,0.13681,0.18206,0.13304,0.09535,1.23383,3.34825,1.18059,0.000643314,0.000643314,0.000643314
7,121.264,1.20578,2.75646,1.14625,0.23245,0.1241,0.10548,0.07063,1.32349,3.46828,1.20717,0.000629177,0.000629177,0.000629177
8,136.583,1.22871,2.65548,1.17144,0.17472,0.20579,0.14108,0.09299,1.23039,3.20791,1.20082,0.00061504,0.00061504,0.00061504
9,151.982,1.20283,2.46895,1.13937,0.42274,0.14461,0.15025,0.10362,1.2338,3.35779,1.19142,0.000600902,0.000600902,0.000600902
10,168.231,1.16291,2.43061,1.1475,0.2187,0.16609,0.1712,0.11964,1.19657,3.06426,1.15932,0.000586765,0.000586765,0.000586765
11,185.332,1.16441,2.3903,1.1328,0.20551,0.1945,0.12756,0.08873,1.2428,3.08342,1.16058,0.000572628,0.000572628,0.000572628
12,202.176,1.10943,2.23347,1.11555,0.21567,0.21917,0.17682,0.12914,1.1783,2.90017,1.16881,0.000558491,0.000558491,0.000558491
13,218.328,1.10111,2.14777,1.12597,0.37008,0.20583,0.18365,0.1308,1.14415,2.92236,1.1236,0.000544354,0.000544354,0.000544354
14,234.093,1.09575,2.11571,1.10333,0.44099,0.19729,0.16234,0.11679,1.15764,3.03764,1.15224,0.000530216,0.000530216,0.000530216
15,250.996,1.07611,2.07518,1.08969,0.15038,0.18356,0.12971,0.0938,1.1862,2.94225,1.15626,0.000516079,0.000516079,0.000516079
16,265.614,1.07943,2.04464,1.0865,0.25737,0.18272,0.1564,0.11271,1.09855,3.10787,1.1386,0.000501942,0.000501942,0.000501942
17,281.68,1.05966,1.94464,1.0851,0.43413,0.2141,0.19601,0.14574,1.13099,2.71984,1.15129,0.000487805,0.000487805,0.000487805
18,297.865,1.09295,1.8639,1.07661,0.28528,0.22796,0.18786,0.14528,1.06708,2.73436,1.09889,0.000473668,0.000473668,0.000473668
19,313.694,1.03825,1.83664,1.08961,0.22892,0.21704,0.18849,0.13781,1.10427,2.64675,1.12987,0.00045953,0.00045953,0.00045953
20,329.734,1.0928,1.77797,1.08425,0.35098,0.20032,0.20048,0.13646,1.12697,2.76815,1.16216,0.000445393,0.000445393,0.000445393
21,346.666,1.07203,1.75064,1.08543,0.22112,0.25659,0.22395,0.16084,1.11671,2.64278,1.1539,0.000431256,0.000431256,0.000431256
22,363.145,1.03537,1.70878,1.07003,0.26894,0.26079,0.23798,0.17069,1.08042,2.52177,1.13733,0.000417119,0.000417119,0.000417119
23,380.718,1.02618,1.60564,1.05121,0.26711,0.26422,0.20662,0.14827,1.11075,2.56879,1.12599,0.000402982,0.000402982,0.000402982
24,396.37,1.03486,1.59378,1.05845,0.49903,0.20526,0.2046,0.14485,1.12309,2.67712,1.14628,0.000388844,0.000388844,0.000388844
25,412.966,0.99828,1.54155,1.05335,0.25954,0.22123,0.20635,0.14698,1.09882,2.46107,1.1338,0.000374707,0.000374707,0.000374707
26,428.273,0.99344,1.45449,1.03603,0.25672,0.24112,0.20493,0.15697,1.09145,2.56869,1.11917,0.00036057,0.00036057,0.00036057
27,444.398,0.98175,1.46143,1.03288,0.27834,0.22661,0.22309,0.16165,1.11923,2.46852,1.13034,0.000346433,0.000346433,0.000346433
28,459.755,0.94883,1.41779,1.02877,0.25612,0.21846,0.21284,0.16396,1.09375,2.44783,1.10885,0.000332296,0.000332296,0.000332296
29,476.643,0.99059,1.40587,1.02988,0.24691,0.23965,0.19178,0.14631,1.08631,2.63779,1.10005,0.000318158,0.000318158,0.000318158
30,491.546,0.94109,1.29025,1.01744,0.36039,0.25938,0.24704,0.18331,1.10434,2.42211,1.12842,0.000304021,0.000304021,0.000304021
31,508.99,0.92392,1.27408,1.00588,0.31857,0.24443,0.24241,0.1759,1.07434,2.51792,1.1126,0.000289884,0.000289884,0.000289884
32,524.598,0.94957,1.31803,1.02549,0.254,0.27584,0.23016,0.1718,1.09319,2.45658,1.13103,0.000275747,0.000275747,0.000275747
33,539.817,0.94794,1.28341,1.01816,0.24017,0.23207,0.21956,0.16077,1.09874,2.62844,1.14437,0.00026161,0.00026161,0.00026161
34,556.833,0.92028,1.23578,1.01818,0.23476,0.2802,0.22243,0.16489,1.09576,2.50757,1.15256,0.000247472,0.000247472,0.000247472
35,571.922,0.92729,1.20067,1.00174,0.2384,0.25846,0.21168,0.15883,1.10343,2.60728,1.12165,0.000233335,0.000233335,0.000233335
